CURSO;ASISTENCIA2;ASISTENCIA1;PARCIAL 1;PARCIAL 2;NRC;PROGRAMA;EDAD;PESO;ESTATURA;SEXO;ESTADO_CIVIL;ESTRATO;URBANO;TRANSPORTE;GR_SANGUINEO
ESTADISTICAI;90;85;1.5;3.45;1009;C_SOCIAL;18;50;178;Masculino;SOLTERO (A);III;Bolívar ;Transcaribe;O positivo (O+)
ESTADISTICAI;90;90;2.4;3.3;1009;PSICOLOGÍA;21;65;164;Femenino;SOLTERO (A);II;Boquilla ;Transcaribe;O positivo (O+)
ESTADISTICAI;100;100;2.9;3.1;1009;C_SOCIAL;18;57;164;Femenino;SOLTERO (A);III;San José de los campanos;Particular;O positivo (O+)
PROBABILIDAD;100;90;1.3;3.15;2314;INDUSTRIAL;19;53;175;Femenino;SOLTERO (A);II;bolivar;Mototaxi;O positivo (O+)
ESTADISTICAI;70;75;2.7;2.2;1136;DERECHO;17;78;180;Masculino;SOLTERO (A);III;Cartagena ;Transcaribe;O positivo (O+)
PROBABILIDAD;100;100;4.2;3.85;1010;MECANICA;18;80;187;Masculino;SOLTERO (A);II;Cartagena;Mototaxi;O negativo (O-)
PROBABILIDAD;100;95;4.9;4.1;2314;SISTEMAS;19;64;172;Masculino;SOLTERO (A);III;Cartagena ;Transcaribe;B positivo (B +)
PROBABILIDAD;100;100;4;4.4;1010;INDUSTRIAL;18;60;177;Femenino;SOLTERO (A);II;Turbaco;Particular;O positivo (O+)
ESTADISTICAI;100;80;1.6;3.3;1009;C_SOCIAL;19;72;169;Femenino;SOLTERO (A);II;Turbaco ;Particular;A positivo (A +)
ESTADISTICAI;80;85;2.8;2.55;1136;DERECHO;18;60;159;Femenino;SOLTERO (A);II;Cartagena;Transcaribe;A positivo (A +)
PROBABILIDAD;75;75;3.3;2.5;2314;CIVIL;18;55;165;Masculino;SOLTERO (A);II;Cartagena;Transcaribe;O positivo (O+)
ESTADISTICAI;60;90;1.9;0.6;1009;C_SOCIAL;20;90;186;Masculino;SOLTERO (A);IV;Bolibar Cartagena;Transcaribe;O positivo (O+)
PROBABILIDAD;100;65;2.6;3.15;1137;MECANICA;18;63;170;Masculino;SOLTERO (A);I;Cartagena;Transcaribe;A positivo (A +)
PROBABILIDAD;90;45;4;3.4;1010;F_NEGOCIOS;18;61;163;Femenino;SOLTERO (A);V;Cartagena ;Particular;A positivo (A +)
PROBABILIDAD;85;95;2.3;2.8;2314;F_NEGOCIOS;18;70;172;Femenino;SOLTERO (A);II;Arjona ;El bus que me deja mas cerca;O positivo (O+)
ESTADISTICAI;90;90;2;3.1;1136;DERECHO;19;48;167;Femenino;SOLTERO (A);IV;Cartagena;Particular;O positivo (O+)
PROBABILIDAD;100;90;3.1;3.25;1010;F_NEGOCIOS;19;57;154;Femenino;SOLTERO (A);II;Bolivar ;Transcaribe;O positivo (O+)
PROBABILIDAD;100;95;1.5;2.95;1137;CONTADURIA;18;60;170;Femenino;SOLTERO (A);II;Turbaco ;El bus que me deja mas cerca;O positivo (O+)
PROBABILIDAD;90;100;1.3;3.5;1010;ELECTRICA;22;70;163;Femenino;SOLTERO (A);I;Turbaco ;Mototaxi;O positivo (O+)
PROBABILIDAD;90;90;2.3;2.1;2314;F_NEGOCIOS;18;59;176;Femenino;SOLTERO (A);IV;Bolivar ;Transcaribe;B positivo (B +)
PROBABILIDAD;85;95;2;3.1;2314;F_NEGOCIOS;18;60;171;Femenino;SOLTERO (A);II;Cartagena;Transcaribe;O positivo (O+)
ESTADISTICAI;65;75;1.7;2.95;1136;DERECHO;20;55;164;Femenino;SOLTERO (A);III;Cartagena ;Mototaxi;A positivo (A +)
ESTADISTICAI;100;100;2.3;3.2;2313;PSICOLOGÍA;19;67;171;Femenino;SOLTERO (A);I;El rodeo;Mototaxi;A positivo (A +)
ESTADISTICAI;100;100;3.8;3.1;1136;DERECHO;18;60;165;Femenino;SOLTERO (A);I;Villa de la cruz;El bus que me deja mas cerca;A positivo (A +)
